"¿Trilateración o triangulación? ¿Cuál usa GNSS?","Trilateración: posición por DISTANCIAS (lados). Triangulación usa ángulos. GNSS mide tiempos → distancias; jamás ángulos.","GNSS::M1::1.1 concepto"
"Mínimo de balizas en 2D para posición única","3, no colineales. Con 2 circunferencias quedan 2 puntos (espejo respecto de la recta de balizas).","GNSS::M1::1.1 concepto"
"Mínimo de esferas en 3D para posición única","4, no coplanares. Con 3 esferas quedan 2 puntos: el verdadero y su espejo.","GNSS::M1::1.1 concepto"
"¿Qué es la solución espejo y dónde cae en GNSS?","La reflexión del receptor respecto del plano de las balizas. Con satélites a ~20 000 km cae a ~30 000+ km de la Tierra: se descarta sola.","GNSS::M1::1.1 concepto"
"Fila i del jacobiano en trilateración","−uᵢᵀ, con uᵢ el unitario receptor→baliza. Es la G de pseudodistancias sin la columna de reloj.","GNSS::M1::1.1 formula"
"Paso de Gauss-Newton","Δ = (JᵀJ)⁻¹ Jᵀ δr, con δr = medido − predicho. Se itera actualizando rangos y unitarios.","GNSS::M1::1.1 formula"
"Factor geométrico (pre-DOP)","√tr((JᵀJ)⁻¹). Predice el error: RMS ≈ factor × σ. En el lab: 1.61 (buena) vs 10.50 (mala).","GNSS::M1::1.1 formula"
"¿Más balizas arreglan una geometría mala?","No del todo: el ruido baja ~1/√n pero la amplificación geométrica queda. Abrir la geometría > sumar balizas.","GNSS::M1::1.1 concepto"
"Un rango llega +1 m más largo. ¿Qué hace la solución?","Se corre ~1 m ALEJÁNDOSE de esa baliza, a lo largo de su línea de vista (modulado por la geometría).","GNSS::M1::1.1 intuicion"
"¿Qué le falta a la trilateración pura para ser GNSS?","El reloj del receptor: c·δt como 4ª incógnita, porque se miden tiempos con un reloj que miente (clase 1.2).","GNSS::M1::1.1 concepto"
"¿Qué es eLoran y por qué resiste el jamming?","Trilateración terrestre por tiempo en ~100 kHz y alta potencia: la señal llega ~10⁶ veces más fuerte que GNSS. Backup PNT (caso Corea del Sur).","GNSS::M1::1.1 caso"
"Precisión de reloj para 1 m / 1 cm de rango (luz)","~3.3 ns para 1 m; ~33 ps para 1 cm. Por eso GNSS es un problema de relojes.","GNSS::M1::1.1 numero"
