"¿Qué es una pseudodistancia?","Medición de tiempo × c hecha con dos relojes imperfectos: distancia geométrica + sesgos de reloj + propagación + ruido. No es una distancia."
"Modelo de observación de código","P = ρ + c(δt_r − δt^s) + I + T + ε"
"¿Por qué hacen falta ≥ 4 satélites?","4 incógnitas: x, y, z y c·δt_r. Cada satélite aporta una ecuación."
"1 ns en metros","≈ 30 cm"
"1 µs en metros","≈ 300 m"
"1 ms en metros","≈ 300 km (299.8)"
"Fila de la matriz de diseño G","[−uᵀ 1], con u unitario receptor→satélite; la incógnita de reloj va en metros (c·δt_r)"
"Paso de Gauss-Newton","Δ = (GᵀG)⁻¹ Gᵀ δP; actualizar x, recalcular ρ y u, repetir hasta ‖Δ‖ pequeña"
"¿Quién maneja el reloj del satélite δt^s?","Se corrige con af0/af1/af2 del mensaje de navegación (+ término relativista). No se estima en el receptor."
"¿Quién maneja el reloj del receptor δt_r?","Se estima como 4ª incógnita en cada época."
"Error de reloj COMÚN a todos los satélites","Lo absorbe c·δt_r: no sesga la posición, sí el tiempo estimado."
"Error de reloj en UN satélite","Sesga la posición y ensucia los residuos (puerta de entrada a RAIM)."
"Caso GPS 26-ene-2016","Baja de SVN-23 → parámetros GPS→UTC con ~13.7 µs de error. Timing (telecom/broadcast) afectado; posicionamiento casi intacto."
"Doppler máximo L1/E1, receptor estático","≈ ±4.7 kHz (v radial ~0.9 km/s) → grilla de adquisición de ±5 kHz"
