"¿Qué es una efeméride broadcast?","Órbita kepleriana de referencia + perturbaciones armónicas, ajustada localmente alrededor de un Toe; 16 parámetros del ICD","GNSS::M1::1.3"
"¿Qué es Toe?","Time of Ephemeris: instante de referencia del ajuste, en segundos de la semana","GNSS::M1::1.3"
"DataSrc 517 en RINEX 3.04 (Galileo)","512+4+1 = I/NAV E1-B + E5b con reloj I/NAV: el mensaje que firma OSNMA","GNSS::M1::1.3"
"DataSrc 258 en RINEX 3.04 (Galileo)","256+2 = F/NAV E5a (servicio abierto monofrecuencia); no lleva OSNMA","GNSS::M1::1.3"
"¿Por qué el wrap de tk en ±302400 s?","tk = t − Toe debe caer en media semana; si no, estás en la semana anterior/siguiente","GNSS::M1::1.3"
"Fórmula de Ω(t) en ECEF","Ω0 + (Ω̇ − ω⊕)·tk − ω⊕·Toe; omitir −ω⊕·Toe rota la órbita ~180° (error de miles de km)","GNSS::M1::1.3"
"¿Qué corrigen Cuc/Cus, Crc/Crs, Cic/Cis?","Perturbaciones periódicas en argumento de latitud, radio e inclinación (J2 y mareas), con sin2Φ/cos2Φ","GNSS::M1::1.3"
"Precisión broadcast Galileo vs SP3 dentro de ±1 h","~1 m RMS 3D (medimos mediana 1.16 m en 30 SVs, 2026-06-15)","GNSS::M1::1.3"
"¿Cómo envejece una efeméride Galileo?","1.9 m (1h) → 13.7 m (2h) → ~400 m (6h) → ~570 m (12h); domina along-track","GNSS::M1::1.3"
"¿Qué es IODnav?","Versión del ajuste de datos Galileo; OSNMA liga la firma a un IODnav concreto","GNSS::M1::1.3"
"¿Qué pasó con Galileo en julio 2019?","6 días degradado por fallo del segmento terreno: sin efemérides nuevas, el servicio cayó aunque la señal seguía en el aire","GNSS::M1::1.3"
"CoM vs APC al validar contra SP3","SP3 da centro de masa, broadcast apunta al centro de fase de antena: ~1–2 m sistemáticos","GNSS::M1::1.3"
"¿GST y GPST difieren por leap seconds?","No: ambos continuos; difieren <50 ns y el GGTO se transmite en el mensaje","GNSS::M1::1.3"
