"¿Qué dos incógnitas resuelve la adquisición GNSS?","El desfase de código (τ → pseudorango grueso) y el Doppler (f_D → velocidad radial y tuneo para el tracking)","GNSS::M2::2.2"
"¿Qué es PCPS (Parallel Code Phase Search)?","Correlación circular en todos los desfases vía una FFT por cada Doppler: IFFT(FFT(x)·conj(FFT(réplica)))","GNSS::M2::2.2"
"¿Por qué la adquisición usa correlación circular y FFT?","El código es periódico (1 ms); la correlación circular es un producto en frecuencia → 1 FFT reemplaza 1023 correlaciones","GNSS::M2::2.2"
"¿Qué es la función de ambigüedad (CAF)?","El plano |correlación|²(τ, f_D): pico agudo en el par correcto, piso de ruido en el resto","GNSS::M2::2.2"
"¿Qué forma tiene el pico de correlación en el eje de código?","Un triángulo de base ±1 chip; por eso la adquisición ubica a ~½ chip (~150 m) y el tracking lo afina a metros","GNSS::M2::2.2"
"¿Cuál es la verdad de referencia para GPS PRN1 (captura gnss-sdr 4 Msps)?","delay = 524 muestras, Doppler = +1680 Hz","GNSS::M2::2.2"
"¿Cuál es la verdad para Galileo E1 SV1 (captura gnss-sdr)?","delay = 2920 muestras, Doppler = −632 Hz","GNSS::M2::2.2"
"¿Por qué la adquisición de Galileo E1 es 'ambigua'?","El BOC(1,1) genera lóbulos laterales a ±½ chip; hay que elegir el central y no engancharse a uno lateral","GNSS::M2::2.2"
"¿Coherente vs no coherente?","Coherente suma amplitud compleja (+3 dB/doble, exige fase estable y sin cambio de bit); no coherente suma módulos (tolera bits, pierde por squaring)","GNSS::M2::2.2"
"¿Cómo se decide si un satélite fue adquirido?","Métrica pico/media (o pico1/pico2) sobre un umbral (~2.5); la altura del pico mapea a C/N0","GNSS::M2::2.2"
"¿Por qué C/N0 es un observable anti-spoofing?","Un spoofer suele llegar más fuerte (C/N0 anómalo y parejo entre SVs) o crea un segundo pico; un C/N0 fuera de lo físico es bandera","GNSS::M2::2.2"
"¿Qué es un sky-search y para qué sirve?","Correr PCPS por los 32 PRN sobre una captura para descubrir qué satélites hay presentes (los que superan el umbral)","GNSS::M2::2.2"
"¿Por qué existe A-GPS y qué acelera?","El cold-start barre ~40k celdas por PRN; A-GPS manda los SVs visibles y su Doppler aproximado → confirma pocas celdas → TTFF de segundos","GNSS::M2::2.2"
"¿Qué formato tienen las capturas IQ de gnss-sdr?","gr_complex = float32 I/Q intercalado, banda base, fs = 4 Msps (leer como complex64)","GNSS::M2::2.2"
