"¿Qué es el multipath y por qué sesga el código?","Réplicas reflejadas (suelo, edificios) que llegan retrasadas Δ=2h·sin(el) y deforman el pico del correlador: sesgo de dm a m en código; la geometría cambia lento → el error oscila (fading), no es ruido blanco","GNSS::M3::3.4"
"¿Por qué el multipath de fase está acotado a λ/4?","La fase resultante de sumar fasores (directo + reflejo α<1) se corre a lo sumo asin(α) < 90° = λ/4: en E1 son 4.8 cm — contra decímetros o metros en código","GNSS::M3::3.4"
"Escribí la combinación MP1 con sus coeficientes","MP1 = P1 − 3.521·Φ1 + 2.521·Φ5 (k = 2/(γ−1) = 2.521): elimina geometría, relojes, tropo e iono; queda multipath + ruido + constante por arco","GNSS::M3::3.4"
"¿Qué elimina la combinación MP y qué deja?","Elimina todo lo común al camino (geometría, relojes, tropo) y la iono (con las dos fases); deja multipath de código + ruido + una constante (ambigüedades) que se resta por arco continuo","GNSS::M3::3.4"
"¿Por qué la constante del MP se resta POR ARCO?","Porque incluye las ambigüedades: un salto de ciclo las cambia (escalón ~65 cm con estos coeficientes) — una media global sobre el escalón inventa multipath en ambos tramos","GNSS::M3::3.4"
"¿Cuál es la firma del multipath en elevación y por qué?","Crece hacia el horizonte (LPGS: 34 cm bajo 30° vs 11 sobre 60°): los reflejos del suelo llegan con más amplitud a baja elevación (ganancia de antena + incidencia rasante)","GNSS::M3::3.4"
"¿Por qué E5a sufre menos multipath que E1 y dónde se esfuma la ventaja?","Chip 10× más corto (29 vs 293 m): corta ecos de >44 m que E1 integra hasta 440 m — gana ~20-25% en elevaciones medias/altas; con ecos cercanos del suelo (Δ≪chip, zona lineal) ambos sufren parejo","GNSS::M3::3.4"
"¿Cada cuánto se repite la geometría GPS y Galileo?","GPS: cada día sidéreo (2 órbitas) → se adelanta 236 s/día. Galileo: cada 10 días (17 órbitas de 14h04m45s) → se adelanta 2359 s por ciclo","GNSS::M3::3.4"
"¿Qué es el sidereal filtering?","Restar el error multipath observado en la repetición geométrica anterior (ayer en GPS, hace 10 días en Galileo): el multipath es determinista si el entorno no cambió — se usa en monitoreo de presas y volcanes","GNSS::M3::3.4"
"¿Qué es GNSS-IR?","Reflectometría: la frecuencia del fading f≈(2h/λ)·d(sin el)/dt depende de la altura antena-reflector → medir el fading es medir h: nieve, humedad de suelo y nivel del mar con estaciones geodésicas comunes","GNSS::M3::3.4"
"¿Cómo delata el multipath a un spoofer de una antena?","Todos los PRN comparten el mismo canal físico: correlación inter-canal de MP anómala, sin firma de elevación coherente, y sin la huella sideral del entorno legítimo — defensa de capa física, complementaria a OSNMA","GNSS::M3::3.4"
"¿Qué diagnóstico da el cociente σ(dif)/√2 vs RMS del MP?","Si ≈ RMS: las muestras decorrelacionan rápido → domina ruido, sitio limpio (choke ring). Si ≪ RMS: multipath lento dominante → sitio con reflectores. El cociente lee la calidad del sitio","GNSS::M3::3.4"
"La escalera de defensas del módulo 3","Iono (global, salvaje): MEDIR con 2 frecuencias · Tropo (local, mansa): MODELAR con física · Multipath (local, determinista): MITIGAR y observar · Ruido (blanco): PROMEDIAR √N","GNSS::M3::3.4"
